zone,valid_pt,t2m_c,ssrd_wm2,wind100,Date
SP15,2026/8/16 12:00,30.24483681,1200,3.004737854,2026/8/16
ZP26,2026/8/16 12:00,25.61228943,1200,1.271529198,2026/8/16
NP15,2026/8/16 11:00,23.62841797,1200,1.504922748,2026/8/16
SP15,2026/8/16 11:00,29.97503662,1200,2.755683184,2026/8/16
ZP26,2026/8/16 11:00,25.1166687,1200,1.025862336,2026/8/16
NP15,2026/8/16 10:00,22.45238686,1000,1.324367642,2026/8/16
SP15,2026/8/16 10:00,28.76047707,1000,2.708076,2026/8/16
ZP26,2026/8/16 10:00,23.84131813,1000,0.964715302,2026/8/16
NP15,2026/8/16 9:00,21.27635765,800,1.143812537,2026/8/16
SP15,2026/8/16 9:00,27.54591942,800,2.660469055,2026/8/16
ZP26,2026/8/16 9:00,22.56596947,800,0.903568327,2026/8/16
NP15,2026/8/16 8:00,20.10032654,600,0.963257372,2026/8/16
SP15,2026/8/16 8:00,26.33135986,600,2.612861872,2026/8/16
ZP26,2026/8/16 8:00,21.2906189,600,0.842421293,2026/8/16
NP15,2026/8/16 7:00,18.92429543,400,0.782702208,2026/8/16
SP15,2026/8/16 7:00,25.11680031,400,2.565254688,2026/8/16
ZP26,2026/8/16 7:00,20.01526833,400,0.781274259,2026/8/16
NP15,2026/8/16 6:00,17.74826622,200,0.602147102,2026/8/16
SP15,2026/8/16 6:00,23.90224266,200,2.517647743,2026/8/16
ZP26,2026/8/16 6:00,18.73991966,200,0.720127285,2026/8/16
NP15,2026/8/16 5:00,16.57223511,0,0.421591967,2026/8/16
SP15,2026/8/16 5:00,22.68768311,0,2.47004056,2026/8/16
ZP26,2026/8/16 5:00,17.46456909,0,0.65898025,2026/8/16
NP15,2026/8/16 4:00,16.97021484,92.82073975,0.553246737,2026/8/16
SP15,2026/8/16 4:00,23.10951805,87.53629303,2.595922947,2026/8/16
ZP26,2026/8/16 4:00,17.90549278,99.33333588,0.831692576,2026/8/16
NP15,2026/8/16 3:00,17.36819458,185.6414795,0.684901476,2026/8/16
SP15,2026/8/16 3:00,23.53135109,175.0725861,2.721805334,2026/8/16
ZP26,2026/8/16 3:00,18.34641457,198.6666718,1.004404902,2026/8/16
NP15,2026/8/16 2:00,17.76617432,278.4622192,0.816556215,2026/8/16
SP15,2026/8/16 2:00,23.95318604,262.6088867,2.847687721,2026/8/16
ZP26,2026/8/16 2:00,18.78733826,298,1.177117109,2026/8/16
NP15,2026/8/16 1:00,18.16415405,371.282959,0.948210955,2026/8/16
SP15,2026/8/16 1:00,24.37502098,350.1451721,2.973570347,2026/8/16
ZP26,2026/8/16 1:00,19.22826195,397.3333435,1.349829435,2026/8/16
NP15,2026/8/16 0:00,18.56213379,464.1036987,1.079865694,2026/8/16
SP15,2026/8/16 0:00,24.79685402,437.681488,3.099452734,2026/8/16
ZP26,2026/8/16 0:00,19.66918373,496.6666565,1.522541761,2026/8/16
NP15,2026/8/15 23:00,18.96011353,556.9244385,1.211520433,2026/8/15
SP15,2026/8/15 23:00,25.21868896,525.2177734,3.225335121,2026/8/15
ZP26,2026/8/15 23:00,20.11010742,596,1.695254087,2026/8/15
NP15,2026/8/15 22:00,19.99427795,664.1036987,1.405562401,2026/8/15
SP15,2026/8/15 22:00,26.07783508,637.6814575,3.289251804,2026/8/15
ZP26,2026/8/15 22:00,21.22157288,696.666687,1.834383845,2026/8/15
NP15,2026/8/15 21:00,21.02844238,771.282959,1.599604487,2026/8/15
SP15,2026/8/15 21:00,26.9369812,750.1452026,3.353168488,2026/8/15
ZP26,2026/8/15 21:00,22.33303833,797.333313,1.973513484,2026/8/15
NP15,2026/8/15 20:00,22.06260681,878.4622192,1.793646455,2026/8/15
SP15,2026/8/15 20:00,27.79612732,862.6088867,3.417085171,2026/8/15
ZP26,2026/8/15 20:00,23.44450378,898,2.112643242,2026/8/15
NP15,2026/8/15 19:00,23.09677124,985.6414795,1.987688422,2026/8/15
SP15,2026/8/15 19:00,28.65527344,975.0725708,3.481002092,2026/8/15
ZP26,2026/8/15 19:00,24.55596924,998.666687,2.251772881,2026/8/15
NP15,2026/8/15 18:00,24.13093567,1092.820801,2.181730509,2026/8/15
SP15,2026/8/15 18:00,29.51441956,1087.536255,3.544918776,2026/8/15
ZP26,2026/8/15 18:00,25.66743469,1099.333374,2.390902758,2026/8/15
NP15,2026/8/15 17:00,25.1651001,1200,2.375772476,2026/8/15
SP15,2026/8/15 17:00,30.37356567,1200,3.608835459,2026/8/15
ZP26,2026/8/15 17:00,26.77890015,1200,2.530032396,2026/8/15
NP15,2026/8/15 16:00,24.88111305,1200,2.252152443,2026/8/15
SP15,2026/8/15 16:00,30.07516479,1200,3.17423296,2026/8/15
ZP26,2026/8/15 16:00,26.35448647,1200,2.278927803,2026/8/15
NP15,2026/8/15 15:00,24.59712791,1200,2.12853241,2026/8/15
SP15,2026/8/15 15:00,29.77676392,1200,2.739630222,2026/8/15
ZP26,2026/8/15 15:00,25.93007469,1200,2.027823448,2026/8/15
NP15,2026/8/15 14:00,24.31314087,1200,2.004912376,2026/8/15
SP15,2026/8/15 14:00,29.47836304,1200,2.305027485,2026/8/15
ZP26,2026/8/15 14:00,25.50566101,1200,1.776718855,2026/8/15
NP15,2026/8/15 13:00,24.02915382,1200,1.881292462,2026/8/15
SP15,2026/8/15 13:00,29.17996216,1200,1.870424986,2026/8/15
ZP26,2026/8/15 13:00,25.08124733,1200,1.525614262,2026/8/15
NP15,2026/8/15 12:00,23.74516869,1200,1.757672548,2026/8/15
SP15,2026/8/15 12:00,28.88156128,1200,1.435822368,2026/8/15
ZP26,2026/8/15 12:00,24.65683556,1200,1.274509668,2026/8/15
NP15,2026/8/15 11:00,23.46118164,1200,1.634052515,2026/8/15
SP15,2026/8/15 11:00,28.5831604,1200,1.001219749,2026/8/15
ZP26,2026/8/15 11:00,24.23242188,1200,1.023405194,2026/8/15
NP15,2026/8/15 10:00,22.36922646,1000,1.448392391,2026/8/15
SP15,2026/8/15 10:00,27.51091576,1000,0.990297973,2026/8/15
ZP26,2026/8/15 10:00,23.1587925,1000,0.973117232,2026/8/15
NP15,2026/8/15 9:00,21.27727318,800,1.262732267,2026/8/15
SP15,2026/8/15 9:00,26.4386692,800,0.979376256,2026/8/15
ZP26,2026/8/15 9:00,22.08516502,800,0.92282927,2026/8/15
NP15,2026/8/15 8:00,20.18531799,600,1.077072144,2026/8/15
SP15,2026/8/15 8:00,25.36642456,600,0.96845448,2026/8/15
ZP26,2026/8/15 8:00,21.01153564,600,0.872541308,2026/8/15
NP15,2026/8/15 7:00,19.09336281,400,0.891412079,2026/8/15
SP15,2026/8/15 7:00,24.29417992,400,0.957532704,2026/8/15
ZP26,2026/8/15 7:00,19.93790627,400,0.822253287,2026/8/15
NP15,2026/8/15 6:00,18.00140953,200,0.705751956,2026/8/15
SP15,2026/8/15 6:00,23.22193336,200,0.946610987,2026/8/15
ZP26,2026/8/15 6:00,18.86427879,200,0.771965325,2026/8/15
NP15,2026/8/15 5:00,16.90945435,0,0.520091832,2026/8/15
SP15,2026/8/15 5:00,22.14968872,0,0.935689211,2026/8/15
ZP26,2026/8/15 5:00,17.79064941,0,0.721677363,2026/8/15
